Company,Website,Video,Logo,Major Hex,Minor Hex,First #1,Last #1,Email #1,First #2,Last #2,Email #2,First #3,Last #3,Email #3,"TEMPLATE
",Landing Page URL,,,,,
General Dynamics Corporation,generaldynamics.com,,http://halliburton.com/web-resources/common/img/halliburton_logo.jpg,,,,,,,,,,,,,http://forgescan.github.io/web/General%20Dynamics%20Corporation/General%20Dynamics%20Corporation.html,,,,,
Philip Morris International Inc.,pmi.com,,None,,,,,,,,,,,,,http://forgescan.github.io/web/Philip%20Morris%20International%20Inc./Philip%20Morris%20International%20Inc..html,,,,,
3M Company,3m.com,,common/images/ip-logo.gif,,,,,,,,,,,,,http://forgescan.github.io/web/3M%20Company/3M%20Company.html,,,,,
Time Warner Inc.,timewarner.com,,http://mcdonalds.com/etc/designs/mcdonalds/en/_jcr_content/genericpage/genericpagecontent/sitelevelconfiguration/logoimage.img.png,,,,,,,,,,,,,http://forgescan.github.io/web/Time%20Warner%20Inc./Time%20Warner%20Inc..html,,,,,
Halliburton Company,halliburton.com,,None,,,,,,,,,,,,,http://forgescan.github.io/web/Halliburton%20Company/Halliburton%20Company.html,,,,,
"Publix Super Markets, Inc.",publix.com,,None,,,,,,,,,,,,,"http://forgescan.github.io/web/Publix%20Super%20Markets,%20Inc./Publix%20Super%20Markets,%20Inc..html",,,,,
International Paper Company,internationalpaper.com,,,,,,,,,,,,,,,http://forgescan.github.io/web/International%20Paper%20Company/International%20Paper%20Company.html,,,,,
McDonald's Corporation,mcdonalds.com,,None,,,,,,,,,,,,,http://forgescan.github.io/web/McDonald's%20Corporation/McDonald's%20Corporation.html,,,,,
"Macy's, Inc.",macysinc.com,,None,,,,,,,,,,,,,"http://forgescan.github.io/web/Macy's,%20Inc./Macy's,%20Inc..html",,,,,
"The TJX Companies, Inc.",tjx.com,,http://aa.com/content/images/chrome/rebrand/aa-logo.png,,,,,,,,,,,,,"http://forgescan.github.io/web/The%20TJX%20Companies,%20Inc./The%20TJX%20Companies,%20Inc..html",,,,,
Fluor Corporation,fluor.com,,None,,,,,,,,,,,,,http://forgescan.github.io/web/Fluor%20Corporation/Fluor%20Corporation.html,,,,,
"Northwestern Mutual Life Insurance Company,Inc.",northwesternmutual.com,,None,,,,,,,,,,,,,"http://forgescan.github.io/web/Northwestern%20Mutual%20Life%20Insurance%20Company,Inc./Northwestern%20Mutual%20Life%20Insurance%20Company,Inc..html",,,,,
Tech Data Corporation,techdata.com,,None,,,,,,,,,,,,,http://forgescan.github.io/web/Tech%20Data%20Corporation/Tech%20Data%20Corporation.html,,,,,
American Airlines Group Inc.,aa.com,,><img src='/_catalogs/masterpage/Oxy/img/Occidentallogo2.gif' /></a></span>None,,,,,,,,,,,,,http://forgescan.github.io/web/American%20Airlines%20Group%20Inc./American%20Airlines%20Group%20Inc..html,,,,,
