Company,Website,Video,Logo,Major Hex,Minor Hex,First #1,Last #1,Email #1,First #2,Last #2,Email #2,First #3,Last #3,Email #3,Landing Page URL,"
"
"HD Supply Holdings, Inc.",hdsupply.com,,,,,,,,,,,,,,,
Caesars Entertainment Corporation,caesars.com,,,,,,,,,,,,,,,
"Darden Restaurants, Inc.",darden.com,,,,,,,,,,,,,,,
Weyerhaeuser Company,weyerhaeuser.com,,,,,,,,,,,,,,,
Ball Corporation,ball.com,,,,,,,,,,,,,,,
Precision Castparts Corp.,precast.com,,,,,,,,,,,,,,,
Masco Corporation,masco.com,,,,,,,,,,,,,,,
"Universal Health Services, Inc.",uhsinc.com,,,,,,,,,,,,,,,
"Republic Services, Inc.",republicservices.com,,,,,,,,,,,,,,,
MasterCard Incorporated,mastercard.com,,,,,,,,,,,,,,,
Newmont Mining Corporation,newmont.com,,,,,,,,,,,,,,,
Broadcom Corporation,broadcom.com,,,,,,,,,,,,,,,
Reynolds American Inc.,reynoldsamerican.com,,,,,,,,,,,,,,,
PVH Corp.,pvh.com,,,,,,,,,,,,,,,
"Charter Communications, Inc.",charter.com,,,,,,,,,,,,,,,
AECOM Technology Corporation,aecom.com,,,,,,,,,,,,,,,
"CenterPoint Energy, Inc.",centerpointenergy.com,,,,,,,,,,,,,,,
Pacific Life,pacificlife.com,,,,,,,,,,,,,,,
Thrivent Financial for Lutherans,thrivent.com,,,,,,,,,,,,,,,
"Becton, Dickinson and Company",bd.com,,,,,,,,,,,,,,,
"Franklin Resources, Inc.",franklinresources.com,,,,,,,,,,,,,,,
Tenneco Inc.,tenneco.com,,,,,,,,,,,,,,,
TravelCenters of America LLC,tatravelcenters.com,,,,,,,,,,,,,,,
"Avis Budget Group, Inc.",avisbudgetgroup.com,,,,,,,,,,,,,,,
"Facebook, Inc.",facebook.com,,,,,,,,,,,,,,,
"Dollar Tree, Inc.",dollartree.com,,,,,,,,,,,,,,,
Corning Incorporated,corning.com,,,,,,,,,,,,,,,
Ashland Inc.,ashland.com,,,,,,,,,,,,,,,
Sealed Air Corporation,sealedair.com,,,,,,,,,,,,,,,
"Core-Mark Holding Company, Inc.",core-mark.com,,,,,,,,,,,,,,,
Oshkosh Corporation,oshkoshcorporation.com,,,,,,,,,,,,,,,
"Coca-Cola Enterprises, Inc.",cokecce.com,,,,,,,,,,,,,,,
"WESCO International, Inc.",wesco.com,,,,,,,,,,,,,,,
"Applied Materials, Inc.",appliedmaterials.com,,,,,,,,,,,,,,,
Visteon Corporation,visteon.com,,,,,,,,,,,,,,,
BorgWarner Inc.,borgwarner.com,,,,,,,,,,,,,,,
"Spectrum Group International, Inc.",spectrumgi.com,,,,,,,,,,,,,,,
"Oaktree Capital Group, LLC",oaktreecapital.com,,,,,,,,,,,,,,,
"Steel Dynamics, Inc.",steeldynamics.com,,,,,,,,,,,,,,,
